City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,chokurdakh,70.6333,147.9167,-31.94,96,100,2.44,RU,02/08/2023 22:42:43
1,verkhoyansk,67.5447,133.385,-43.1,95,75,0.33,RU,02/08/2023 22:46:23
2,albany,42.6001,-73.9662,0.15,80,81,1.23,US,02/08/2023 22:41:57
3,cidreira,-30.1811,-50.2056,24.49,83,24,8.46,BR,02/08/2023 22:40:27
4,vaini,-21.2,-175.2,29.09,79,75,2.06,TO,02/08/2023 22:41:55
5,tiksi,71.6872,128.8694,-39.37,98,59,2.35,RU,02/08/2023 22:43:01
6,port alfred,-7.0349,29.7638,21.43,81,100,1.42,CD,02/08/2023 22:46:24
7,yellowknife,62.456,-114.3525,-21.36,84,75,4.12,CA,02/08/2023 22:42:14
8,bluff,-46.6,168.3333,13.22,56,77,8.33,NZ,02/08/2023 22:41:54
9,east london,65.0,-15.0,-6.14,73,52,12.18,IS,02/08/2023 22:46:24
10,butaritari,3.0707,172.7902,27.42,82,65,9.15,KI,02/08/2023 22:42:30
11,arraial do cabo,-22.8362,-46.646,16.13,97,7,1.95,BR,02/08/2023 22:46:25
12,hastings,50.8552,0.5729,4.73,55,90,3.28,GB,02/08/2023 22:43:51
13,busselton,-33.65,115.3333,27.94,35,0,1.3,AU,02/08/2023 22:41:54
14,punta arenas,8.9897,125.34,27.19,76,89,1.48,PH,02/08/2023 22:46:26
15,vanimo,-2.6741,141.3028,25.35,92,100,4.74,PG,02/08/2023 22:43:31
16,namibe,-15.1961,12.1522,20.53,76,98,2.82,AO,02/08/2023 22:45:46
17,alice springs,27.7523,-98.0697,11.69,72,68,1.66,US,02/08/2023 22:46:27
18,flinders,-34.5833,150.8552,23.92,87,100,1.79,AU,02/08/2023 22:45:56
19,georgetown,5.4112,100.3354,28.96,83,20,3.09,MY,02/08/2023 22:39:00
20,kahului,20.8947,-156.47,24.36,69,20,7.2,US,02/08/2023 22:43:33
21,tasiilaq,65.6145,-37.6368,-14.91,54,96,4.36,GL,02/08/2023 22:40:28
22,fairbanks,64.8378,-147.7164,-14.67,84,40,0.0,US,02/08/2023 22:43:46
23,husavik,66.0449,-17.3389,-5.1,93,52,7.62,IS,02/08/2023 22:42:41
24,cape town,-36.413,-71.9028,16.41,57,0,2.62,CL,02/08/2023 22:46:29
25,new norfolk,6.6518,-10.5932,23.23,94,69,1.06,LR,02/08/2023 22:44:12
26,muli,2.9167,73.5667,27.42,71,96,3.8,MV,02/08/2023 22:46:30
27,hambantota,6.1241,81.1185,28.19,78,20,4.12,LK,02/08/2023 22:42:56
28,qaanaaq,77.484,-69.3632,-31.69,64,14,2.71,GL,02/08/2023 22:42:11
29,griffith,41.5284,-87.4237,3.96,76,100,2.57,US,02/08/2023 22:44:31
30,rikitea,-23.1203,-134.9692,26.75,73,4,6.4,PF,02/08/2023 22:41:56
31,camacha,33.0833,-16.3333,12.68,62,40,5.14,PT,02/08/2023 22:46:31
32,hithadhoo,-0.6,73.0833,27.54,72,77,4.35,MV,02/08/2023 22:42:34
33,clyde river,41.3042,-82.9752,4.25,81,100,2.57,US,02/08/2023 22:46:32
34,vila franca do campo,42.0304,-8.1588,1.49,81,0,1.89,PT,02/08/2023 22:46:33
35,nizwa,22.9333,57.5333,23.21,27,2,0.6,OM,02/08/2023 22:46:33
36,ust-nera,64.5667,143.2,-35.57,95,87,0.69,RU,02/08/2023 22:46:35
37,college,64.8569,-147.8028,-14.68,84,75,0.0,US,02/08/2023 22:44:38
38,dingle,10.9995,122.6711,27.8,72,97,7.12,PH,02/08/2023 22:43:00
39,kushmurun,52.4503,64.6311,-18.99,96,100,3.98,KZ,02/08/2023 22:46:37
40,dikson,73.5069,80.5464,-19.01,85,89,6.12,RU,02/08/2023 22:43:22
41,shache,38.4167,77.2406,-0.42,52,26,1.5,CN,02/08/2023 22:46:39
42,mataura,-46.1927,168.8643,13.04,62,87,3.91,NZ,02/08/2023 22:42:00
43,alofi,-19.0595,-169.9187,29.94,70,75,3.6,NU,02/08/2023 22:46:41
44,san patricio,13.3034,-4.8956,24.82,15,0,3.94,ML,02/08/2023 22:41:44
45,kapaa,22.0752,-159.319,26.99,71,0,8.75,US,02/08/2023 22:42:20
46,omsukchan,62.5333,155.8,-34.2,96,31,2.42,RU,02/08/2023 22:43:50
47,ushuaia,-54.8,-68.3,9.81,87,20,4.12,AR,02/08/2023 22:38:09
48,hermanus,-34.4187,19.2345,19.89,83,76,5.1,ZA,02/08/2023 22:42:32
49,luwingu,-10.2621,29.9271,16.27,88,100,1.85,ZM,02/08/2023 22:46:41
50,zabaykalsk,49.6333,117.3167,-18.13,96,100,1.87,RU,02/08/2023 22:46:42
51,bac can,45.3919,19.2367,-2.6,72,3,4.02,RS,02/08/2023 22:46:42
